Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Arsenal,Eddie Nketiah,ENG,FW,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,63
Arsenal,Salah Oulad M'Hand,NED,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,64
Arsenal,Jack Porter,ENG,GK,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,65
Arsenal,Aaron Ramsdale,ENG,GK,26,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,66
Arsenal,Tommy Setford,ENG,GK,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,67
Manchester City,Joško Gvardiol,CRO,DF,22,37,36,3277,36.4,5,0,5,5,0,0,2,0.0,4.6,3,68
Manchester City,Erling Haaland,NOR,FW,24,31,31,2736,30.4,22,3,25,19,3,4,2,0.0,22.0,3,69
Manchester City,Bernardo Silva,POR,"MF,FW",29,33,29,2670,29.7,4,4,8,4,0,0,7,0.0,3.9,3,70
Manchester City,Ederson,BRA,GK,30,26,26,2320,25.8,0,4,4,0,0,0,4,0.0,0.0,3,71
Manchester City,Rúben Dias,POR,DF,27,27,25,2271,25.2,0,0,0,0,0,0,4,0.0,1.5,3,72
Manchester City,İlkay Gündoğan,GER,MF,33,33,25,2223,24.7,1,6,7,1,0,0,1,0.0,3.2,3,73
Manchester City,Mateo Kovačić,CRO,MF,30,31,25,2198,24.4,6,2,8,6,0,0,5,1.0,1.9,3,74
Manchester City,Manuel Akanji,SUI,DF,29,26,23,2014,22.4,0,0,0,0,0,0,3,0.0,1.6,3,75
Manchester City,Rico Lewis,ENG,"DF,MF",19,28,21,1893,21.0,1,2,3,1,0,0,5,1.0,1.4,3,76
Manchester City,Sávio,BRA,"FW,MF",20,29,21,1766,19.6,1,8,9,1,0,0,3,0.0,5.0,3,77
Manchester City,Phil Foden,ENG,"MF,FW",24,28,20,1777,19.7,7,2,9,7,0,0,2,0.0,5.2,3,78
Manchester City,Kevin De Bruyne,BEL,"MF,FW",33,28,19,1702,18.9,4,7,11,4,0,0,2,0.0,5.1,3,79
Manchester City,Matheus Nunes,POR,"DF,MF",25,26,19,1674,18.6,1,6,7,1,0,0,4,0.0,1.2,3,80
Manchester City,Jeremy Doku,BEL,"FW,MF",22,29,16,1516,16.8,3,6,9,3,0,0,1,0.0,1.3,3,81
Manchester City,Omar Marmoush,EGY,"FW,MF",25,16,14,1175,13.1,7,0,7,7,0,0,0,0.0,5.5,3,82
Manchester City,Stefan Ortega,GER,GK,31,13,12,1100,12.2,0,0,0,0,0,0,1,0.0,0.0,3,83
Manchester City,Kyle Walker,ENG,DF,34,15,9,970,10.8,0,0,0,0,0,0,3,0.0,0.1,3,84
Manchester City,Nicolás González,ESP,MF,22,11,9,760,8.4,1,0,1,1,0,0,3,0.0,0.5,3,85
Manchester City,Nathan Aké,NED,DF,29,10,8,678,7.5,0,0,0,0,0,0,0,0.0,0.2,3,86
Manchester City,Jack Grealish,ENG,"FW,MF",28,20,7,721,8.0,1,1,2,1,0,0,3,0.0,1.1,3,87
Manchester City,John Stones,ENG,"DF,MF",30,11,6,548,6.1,2,0,2,2,0,0,1,0.0,0.4,3,88
Manchester City,Nico O’Reilly,ENG,DF,19,9,6,528,5.9,2,0,2,2,0,0,0,0.0,1.3,3,89
Manchester City,Abdukodir Khusanov,UZB,DF,20,6,6,503,5.6,0,0,0,0,0,0,1,0.0,0.0,3,90
Manchester City,James Mcatee,ENG,"MF,FW",21,15,3,349,3.9,3,0,3,3,0,0,1,0.0,2.8,3,91
Manchester City,Jahmai Simpson-Pusey,ENG,DF,18,2,1,96,1.1,0,0,0,0,0,0,1,0.0,0.0,3,92
Manchester City,Rodri,ESP,MF,28,3,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,3,93
Manchester City,Divin Mubama,ENG,FW,19,1,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,3,94
Manchester City,Oscar Bobb,NOR,FW,21,3,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,3,95
Manchester City,Claudio Echeverri,ARG,FW,18,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,3,96
Manchester City,Vitor Reis,BRA,DF,18,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,3,97
Manchester City,Max Alleyne,ENG,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,98
Manchester City,Thorsten Brits,ENG,GK,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,99
Manchester City,Scott Carson,ENG,GK,38,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,100
Manchester City,Issa Kaboré,BFA,"DF,MF",23,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,101
Manchester City,Josh Wilson-Esbrand,ENG,DF,21,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,102
Manchester City,Jacob Wright,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,103
