Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Nott'ham Forest,James Ward-Prowse,ENG,MF,29,9,5,400,4.4,0,1,1,0,0,0,2,1.0,0.1,7,219
Nott'ham Forest,Danilo,BRA,"MF,FW",23,8,5,275,3.1,0,0,0,0,0,0,0,0.0,0.0,7,220
Nott'ham Forest,Taiwo Awoniyi,NGA,FW,26,26,3,416,4.6,1,0,1,1,0,0,0,0.0,2.1,7,221
Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",24,19,1,295,3.3,1,0,1,1,0,0,1,0.0,1.0,7,222
Nott'ham Forest,Willy Boly,CIV,DF,33,6,1,150,1.7,0,0,0,0,0,0,1,0.0,0.1,7,223
Nott'ham Forest,Harry Toffolo,ENG,DF,28,4,1,137,1.5,0,0,0,0,0,0,1,0.0,0.0,7,224
Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18,2,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,7,225
Nott'ham Forest,Zach Abbott,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,7,226
Nott'ham Forest,Wayne Hennessey,WAL,GK,37,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,7,227
Nott'ham Forest,Carlos Miguel,BRA,GK,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,7,228
Nott'ham Forest,Andrew Omobamidele,IRL,DF,22,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,7,229
Brighton,Bart Verbruggen,NED,GK,21,36,36,3240,36.0,0,1,1,0,0,0,5,0.0,0.0,8,230
Brighton,Jan Paul van Hecke,NED,DF,24,34,33,2958,32.9,1,1,2,1,0,0,8,1.0,1.3,8,231
Brighton,Carlos Baleba,CMR,MF,20,34,31,2661,29.6,3,1,4,3,0,0,8,1.0,3.1,8,232
Brighton,Kaoru Mitoma,JPN,"FW,MF",27,36,28,2603,28.9,10,4,14,10,0,0,1,0.0,9.2,8,233
Brighton,Pervis Estupiñán,ECU,DF,26,30,26,2402,26.7,1,1,2,1,0,0,5,0.0,1.2,8,234
Brighton,Danny Welbeck,ENG,FW,33,30,24,2115,23.5,10,4,14,9,1,1,5,0.0,9.6,8,235
Brighton,Lewis Dunk,ENG,DF,32,25,23,2083,23.1,0,0,0,0,0,0,5,0.0,0.8,8,236
Brighton,João Pedro,BRA,"FW,MF",22,27,23,1948,21.6,10,6,16,5,5,5,4,1.0,8.9,8,237
Brighton,Yasin Ayari,SWE,MF,20,34,22,1965,21.8,2,1,3,2,0,0,3,0.0,2.4,8,238
Brighton,Jack Hinshelwood,ENG,"MF,DF",19,26,22,1842,20.5,5,2,7,5,0,0,5,0.0,2.7,8,239
Brighton,Yankuba Minteh,GAM,"FW,MF",20,32,20,1838,20.4,6,4,10,6,0,0,6,0.0,4.1,8,240
Brighton,Joël Veltman,NED,DF,32,21,19,1697,18.9,0,0,0,0,0,0,5,0.0,0.5,8,241
Brighton,Georginio Rutter,FRA,"MF,FW",22,28,19,1656,18.4,5,3,8,5,0,0,2,0.0,4.6,8,242
Brighton,Simon Adingra,CIV,"FW,MF",22,29,12,1097,12.2,2,2,4,2,0,0,0,0.0,2.5,8,243
Brighton,Matt O'Riley,DEN,MF,23,21,11,938,10.4,2,2,4,1,1,1,1,0.0,2.8,8,244
Brighton,Adam Webster,ENG,DF,29,14,11,887,9.9,0,0,0,0,0,0,1,0.0,0.2,8,245
Brighton,Mats Wieffer,NED,"DF,MF",24,25,10,1015,11.3,1,3,4,1,0,0,6,0.0,0.8,8,246
Brighton,Igor,BRA,DF,26,13,10,961,10.7,0,0,0,0,0,0,4,0.0,0.0,8,247
Brighton,Tariq Lamptey,GHA,DF,23,15,10,860,9.6,2,2,4,2,0,0,0,0.0,0.4,8,248
Brighton,Brajan Gruda,GER,"MF,FW",20,21,8,687,7.6,1,4,5,1,0,0,0,0.0,1.2,8,249
Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,6,5,385,4.3,1,0,1,1,0,0,1,0.0,0.4,8,250
Brighton,Diego Gómez,PAR,MF,21,16,4,516,5.7,1,0,1,1,0,0,0,0.0,0.9,8,251
Brighton,James Milner,ENG,MF,38,4,3,170,1.9,0,0,0,0,0,0,1,0.0,0.2,8,252
Brighton,Julio Enciso,PAR,"MF,FW",20,12,2,294,3.3,0,0,0,0,0,0,0,0.0,1.0,8,253
Brighton,Evan Ferguson,IRL,FW,19,13,2,246,2.7,1,0,1,1,0,0,0,0.0,0.5,8,254
Brighton,Jason Steele,ENG,GK,33,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,8,255
Brighton,Solly March,ENG,"FW,MF",30,8,1,168,1.9,0,0,0,0,0,0,2,0.0,0.1,8,256
Brighton,Billy Gilmour,SCO,MF,23,2,1,98,1.1,0,0,0,0,0,0,0,0.0,0.1,8,257
Brighton,Eiran Cashin,IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,8,258
Brighton,Jakub Moder,POL,MF,25,4,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,8,259
Brighton,Jeremy Sarmiento,ECU,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,8,260
Brighton,Harry Howell,ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,8,261
Brighton,Valentín Barco,ARG,"DF,MF",20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,262
Brighton,Killian Cahill,IRL,GK,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,263
Brighton,Joe Knight,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,264
Brighton,Ruairi Mcconville,NIR,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,265
Brighton,Mark O'Mahony,IRL,FW,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,266
Brighton,Carl Rushworth,ENG,GK,23,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,267
Brighton,Imari Samuels,ENG,DF,21,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,268
Brighton,Freddie Simmonds,ENG,DF,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,269
Brighton,Jacob Slater,IRL,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,270
Brighton,Charlie Tasker,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,8,271
Bournemouth,Milos Kerkez,HUN,DF,20,38,38,3336,37.1,2,5,7,2,0,0,4,0.0,0.6,9,272
Bournemouth,Antoine Semenyo,GHA,FW,24,37,36,3203,35.6,11,5,16,11,0,0,9,0.0,10.0,9,273
Bournemouth,Illia Zabarnyi,UKR,DF,21,36,35,3109,34.5,0,1,1,0,0,0,4,1.0,1.3,9,274
Bournemouth,Lewis Cook,ENG,"MF,DF",27,36,32,2978,33.1,1,3,4,1,0,0,8,1.0,0.9,9,275
Bournemouth,Kepa Arrizabalaga,ESP,GK,29,31,31,2790,31.0,0,0,0,0,0,0,3,0.0,0.1,9,276
Bournemouth,Justin Kluivert,NED,MF,25,34,29,2340,26.0,12,6,18,6,6,6,8,0.0,10.3,9,277
Bournemouth,Evanilson,BRA,FW,24,31,28,2319,25.8,10,1,11,10,0,1,1,1.0,12.5,9,278
Bournemouth,Ryan Christie,SCO,MF,29,29,27,2117,23.5,2,3,5,2,0,0,9,0.0,1.8,9,279
Bournemouth,Dean Huijsen,ESP,DF,19,32,26,2427,27.0,3,2,5,3,0,0,10,0.0,1.9,9,280
Bournemouth,Dango Ouattara,BFA,FW,22,32,21,2005,22.3,7,4,11,7,0,0,3,0.0,8.4,9,281
Bournemouth,Tyler Adams,USA,MF,25,28,21,1965,21.8,0,3,3,0,0,0,7,0.0,1.6,9,282
Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,29,20,1939,21.5,3,5,8,3,0,0,6,0.0,5.5,9,283
Bournemouth,Adam Smith,ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0.0,0.7,9,284
Bournemouth,Marcos Senesi,ARG,DF,27,17,13,1106,12.3,0,0,0,0,0,0,5,0.0,0.8,9,285
Bournemouth,David Brooks,WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0.0,2.5,9,286
Bournemouth,Alex Scott,ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0.0,0.7,9,287
Bournemouth,Julian Araujo,MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0.0,0.0,9,288
Bournemouth,James Hill,ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0.0,0.3,9,289
Bournemouth,Mark Travers,IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,9,290
Bournemouth,Enes Ünal,TUR,"FW,MF",27,17,2,345,3.8,2,1,3,2,0,0,2,0.0,2.7,9,291
Bournemouth,Neto,BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,9,292
Bournemouth,Luis Sinisterra,COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0.0,1.2,9,293
Bournemouth,Philip Billing,DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0.0,0.6,9,294
Bournemouth,Max Aarons,ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0.0,0.0,9,295
Bournemouth,Daniel Jebbison,CAN,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0.0,1.0,9,296
Bournemouth,Ben Winterburn,ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,9,297
Bournemouth,Julio Soler,ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,9,298
Bournemouth,Remy Rees-Dottin,ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,9,299
Bournemouth,Zain Silcott-Duberry,MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,9,300
Bournemouth,Daniel Adu-Adjei,ENG,FW,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,301
Bournemouth,Matai Akinmboni,USA,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,302
Bournemouth,Jaidon Anthony,ENG,"FW,MF",24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,303
Bournemouth,Will Dennis,ENG,GK,24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,304
Bournemouth,Archie Harris,WAL,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,305
Bournemouth,Hamed Junior Traorè,CIV,"FW,MF",24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,306
Bournemouth,Callan Mckenna,SCO,GK,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,307
Bournemouth,Dominic Sadi,ENG,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,308
Bournemouth,Maxwell Wellings,ENG,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,309
Brentford,Nathan Collins,IRL,DF,23,38,38,3420,38.0,2,3,5,2,0,0,5,0.0,2.5,10,310
Brentford,Bryan Mbeumo,CMR,FW,24,38,38,3414,37.9,20,7,27,15,5,6,3,0.0,12.3,10,311
Brentford,Mark Flekken,NED,GK,31,37,37,3275,36.4,0,2,2,0,0,0,1,0.0,0.0,10,312
Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,38,36,3093,34.4,1,3,4,1,0,0,7,0.0,3.1,10,313
Brentford,Yoane Wissa,COD,FW,27,35,34,2919,32.4,19,4,23,19,0,0,5,0.0,18.5,10,314
Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,38,34,2911,32.3,2,10,12,2,0,0,2,0.0,2.8,10,315
Brentford,Christian Nørgaard,DEN,MF,30,34,34,2819,31.3,5,4,9,5,0,0,8,1.0,4.3,10,316
Brentford,Sepp van den Berg,NED,DF,22,31,29,2586,28.7,0,0,0,0,0,0,3,0.0,2.0,10,317
Brentford,Vitaly Janelt,GER,MF,26,32,27,2254,25.0,1,3,4,1,0,0,3,0.0,0.8,10,318
Brentford,Kevin Schade,GER,FW,22,38,26,2293,25.5,11,2,13,11,0,0,3,0.0,8.2,10,319
Brentford,Ethan Pinnock,JAM,DF,31,22,21,1913,21.3,2,0,2,2,0,0,2,0.0,1.1,10,320
Brentford,Kristoffer Ajer,NOR,DF,26,24,17,1438,16.0,0,0,0,0,0,0,5,0.0,1.0,10,321
Brentford,Yehor Yarmoliuk,UKR,MF,20,31,15,1450,16.1,0,0,0,0,0,0,6,0.0,0.6,10,322
Brentford,Mads Roerslev,DEN,DF,25,19,11,1101,12.2,0,2,2,0,0,0,2,0.0,0.2,10,323
Brentford,Mathias Jensen,DEN,MF,28,24,8,862,9.6,0,2,2,0,0,0,2,0.0,0.2,10,324
Brentford,Michael Kayode,ITA,DF,20,12,6,528,5.9,0,1,1,0,0,0,2,0.0,0.2,10,325
Brentford,Fabio Carvalho,POR,"FW,MF",21,19,3,455,5.1,2,1,3,2,0,0,1,0.0,2.5,10,326
Brentford,Ben Mee,ENG,DF,34,7,2,183,2.0,0,0,0,0,0,0,2,0.0,0.0,10,327
Brentford,Thiago,BRA,"FW,MF",23,8,1,175,1.9,0,0,0,0,0,0,0,0.0,0.1,10,328
Brentford,Hákon Valdimarsson,ISL,GK,22,2,1,145,1.6,0,0,0,0,0,0,0,0.0,0.0,10,329
Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",23,8,0,119,1.3,0,0,0,0,0,0,0,0.0,0.1,10,330
Brentford,Rico Henry,ENG,DF,27,5,0,99,1.1,0,0,0,0,0,0,0,0.0,0.0,10,331
Brentford,Yunus Emre Konak,TUR,"FW,MF",18,10,0,42,0.5,0,0,0,0,0,0,0,0.0,0.2,10,332
Brentford,Kim Jisoo,KOR,DF,19,3,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,10,333
Brentford,Frank Onyeka,NGA,MF,26,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,10,334
Brentford,Gustavo Nunes,BRA,"FW,MF",18,3,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,10,335
Brentford,Jayden Meghoma,ENG,DF,18,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,10,336
Brentford,Ryan Trevitt,ENG,MF,21,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,10,337
Brentford,Benjamin Arthur,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,338
Brentford,Julian Eyestone,USA,GK,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,339
Brentford,Benjamin Fredrick,NGA,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,340
Brentford,Aaron Hickey,SCO,"DF,MF",22,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,341
Brentford,Iwan Morgan,WAL,FW,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,342
Brentford,Myles Peart-Harris,ENG,MF,21,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,343
Brentford,Tony Yogane,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,10,344
Fulham,Bernd Leno,GER,GK,32,38,38,3420,38.0,0,1,1,0,0,0,5,0.0,0.0,11,345
Fulham,Antonee Robinson,USA,DF,26,36,35,3167,35.2,0,10,10,0,0,0,8,0.0,0.7,11,346
Fulham,Alex Iwobi,NGA,"FW,MF",28,38,35,2981,33.1,9,6,15,9,0,0,1,0.0,4.7,11,347
Fulham,Calvin Bassey,NGA,DF,24,35,34,3074,34.2,1,0,1,1,0,0,7,0.0,1.0,11,348
Fulham,Raúl Jiménez,MEX,FW,33,38,30,2494,27.7,12,3,15,9,3,3,4,0.0,12.0,11,349
Fulham,Joachim Andersen,DEN,DF,28,29,29,2583,28.7,0,0,0,0,0,0,6,1.0,1.0,11,350
Fulham,Saša Lukić,SRB,MF,27,30,28,2344,26.0,0,2,2,0,0,0,12,0.0,1.2,11,351
Fulham,Sander Berge,NOR,MF,26,31,26,2224,24.7,0,0,0,0,0,0,6,0.0,0.4,11,352
Fulham,Emile Smith Rowe,ENG,MF,24,34,25,2043,22.7,6,3,9,6,0,0,3,0.0,4.5,11,353
Fulham,Andreas Pereira,BRA,MF,28,33,25,2013,22.4,2,4,6,2,0,1,7,0.0,3.8,11,354
Fulham,Kenny Tete,NED,DF,28,22,21,1774,19.7,0,2,2,0,0,0,5,0.0,1.4,11,355
Fulham,Adama Traoré,ESP,"FW,MF",28,36,18,1772,19.7,2,7,9,2,0,0,3,0.0,4.0,11,356
Fulham,Timothy Castagne,BEL,DF,28,24,17,1649,18.3,0,1,1,0,0,0,1,0.0,0.4,11,357
Fulham,Issa Diop,FRA,DF,27,21,15,1339,14.9,0,0,0,0,0,0,2,0.0,0.5,11,358
Fulham,Harry Wilson,WAL,"FW,MF",27,25,12,1162,12.9,6,1,7,6,0,0,2,0.0,4.2,11,359
Fulham,Rodrigo Muniz,BRA,FW,23,31,8,964,10.7,8,1,9,8,0,0,1,0.0,5.8,11,360
Fulham,Ryan Sessegnon,ENG,"FW,DF",24,16,7,580,6.4,4,2,6,4,0,0,1,0.0,1.6,11,361
Fulham,Reiss Nelson,ENG,FW,24,11,5,487,5.4,1,1,2,1,0,0,1,0.0,1.1,11,362
Fulham,Jorge Cuenca,ESP,DF,24,8,4,351,3.9,0,0,0,0,0,0,0,0.0,0.0,11,363
Fulham,Tom Cairney,SCO,MF,33,25,3,628,7.0,2,0,2,2,0,0,3,1.0,0.8,11,364
Fulham,Willian,BRA,"FW,MF",35,10,2,257,2.9,0,0,0,0,0,0,0,0.0,0.3,11,365
Fulham,Joshua King,ENG,MF,17,8,1,130,1.4,0,0,0,0,0,0,0,0.0,0.3,11,366
Fulham,Harrison Reed,ENG,MF,29,12,0,108,1.2,0,0,0,0,0,0,2,0.0,0.2,11,367
Fulham,Martial Godo,ENG,"FW,DF",21,2,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,11,368
Fulham,Carlos Vinícius,BRA,"MF,FW",29,3,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,11,369
Fulham,Jay Stansfield,ENG,MF,21,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,11,370
Fulham,Samuel Amissah,ENG,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,11,371
Fulham,Steven Benda,GER,GK,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,11,372
Crystal Palace,Dean Henderson,ENG,GK,27,38,38,3420,38.0,0,0,0,0,0,0,3,0.0,0.0,12,373
Crystal Palace,Daniel Muñoz,COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0.0,4.9,12,374
Crystal Palace,Tyrick Mitchell,ENG,DF,24,37,37,3092,34.4,0,5,5,0,0,0,2,0.0,1.3,12,375
Crystal Palace,Maxence Lacroix,FRA,DF,24,35,35,3116,34.6,1,1,2,1,0,0,5,0.0,3.4,12,376
Crystal Palace,Marc Guéhi,ENG,DF,24,34,34,3059,34.0,3,2,5,3,0,0,9,1.0,2.0,12,377
Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,37,33,2648,29.4,14,2,16,12,2,2,2,0.0,13.5,12,378
Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,34,31,2588,28.8,8,8,16,7,1,2,1,0.0,10.5,12,379
Crystal Palace,Ismaila Sarr,SEN,MF,26,38,30,2711,30.1,8,6,14,8,0,0,4,0.0,10.7,12,380
Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,33,26,2274,25.3,0,1,1,0,0,0,9,0.0,1.1,12,381
Crystal Palace,Will Hughes,ENG,MF,29,33,24,2108,23.4,0,3,3,0,0,0,11,0.0,1.1,12,382
Crystal Palace,Chris Richards,USA,DF,24,24,22,1922,21.4,1,0,1,1,0,0,4,1.0,1.4,12,383
Crystal Palace,Adam Wharton,ENG,MF,20,20,16,1318,14.6,0,2,2,0,0,0,2,0.0,0.4,12,384
Crystal Palace,Daichi Kamada,JPN,MF,27,34,15,1564,17.4,0,0,0,0,0,0,4,1.0,1.1,12,385
Crystal Palace,Trevoh Chalobah,ENG,DF,25,12,12,1060,11.8,3,0,3,3,0,0,1,0.0,1.2,12,386
Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,29,9,1034,11.5,3,1,4,3,0,0,6,1.0,5.8,12,387
Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,13,5,483,5.4,0,0,0,0,0,0,1,0.0,0.0,12,388
Crystal Palace,Justin Devenny,NIR,MF,20,23,4,507,5.6,1,1,2,1,0,0,1,0.0,0.8,12,389
Crystal Palace,Cheick Doucouré,MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0.0,0.4,12,390
Crystal Palace,Ben Chilwell,ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0.0,0.2,12,391
Crystal Palace,Romain Esse,ENG,MF,19,7,1,138,1.5,1,1,2,1,0,0,0,0.0,0.3,12,392
Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26,2,1,115,1.3,0,0,0,0,0,0,0,0.0,0.4,12,393
Crystal Palace,Joachim Andersen,DEN,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0.0,0.0,12,394
Crystal Palace,Chadi Riad,MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,12,395
Crystal Palace,Joel Ward,ENG,DF,34,2,1,71,0.8,0,0,0,0,0,0,1,0.0,0.0,12,396
Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31,12,0,103,1.1,0,0,0,0,0,0,0,0.0,0.2,12,397
Crystal Palace,Matheus França,BRA,"MF,FW",20,4,0,55,0.6,1,0,1,1,0,0,0,0.0,0.3,12,398
Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,1,0,21,0.2,0,0,0,0,0,0,1,0.0,0.5,12,399
Crystal Palace,Caleb Kporha,ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,12,400
Crystal Palace,Asher Agbinone,ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,12,401
Crystal Palace,Naouirou Ahamada,FRA,MF,22,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,402
Crystal Palace,Rob Holding,ENG,DF,28,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,403
Crystal Palace,Sam Johnstone,ENG,GK,31,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,404
Crystal Palace,Zachariah Marsh,ENG,FW,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,405
Crystal Palace,Remi Matthews,ENG,GK,30,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,406
Crystal Palace,Kaden Rodney,ENG,"DF,MF",19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,407
Crystal Palace,Matt Turner,USA,GK,30,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,408
Crystal Palace,Franco Umeh-Chibueze,IRL,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,409
Everton,Jordan Pickford,ENG,GK,30,38,38,3420,38.0,0,1,1,0,0,0,7,0.0,0.0,13,410
Everton,Vitaliy Mykolenko,UKR,DF,25,35,35,3082,34.2,1,2,3,1,0,0,4,0.0,0.5,13,411
Everton,Idrissa Gana Gueye,SEN,MF,34,37,35,3063,34.0,0,3,3,0,0,0,9,0.0,1.1,13,412
Everton,James Tarkowski,ENG,DF,31,33,33,2922,32.5,1,1,2,1,0,0,6,0.0,1.3,13,413
Everton,Abdoulaye Doucouré,MLI,MF,31,33,31,2564,28.5,3,2,5,3,0,0,5,1.0,4.1,13,414
Everton,Iliman Ndiaye,SEN,FW,24,33,29,2430,27.0,9,0,9,7,2,2,3,0.0,6.2,13,415
Everton,Jarrad Branthwaite,ENG,DF,22,30,28,2511,27.9,0,1,1,0,0,0,4,0.0,1.2,13,416
Everton,Jack Harrison,ENG,FW,27,34,24,2076,23.1,1,0,1,1,0,0,0,0.0,3.5,13,417
Everton,Ashley Young,ENG,DF,39,32,19,1875,20.8,1,3,4,1,0,0,7,1.0,0.3,13,418
Everton,Dominic Calvert-Lewin,ENG,FW,27,26,19,1609,17.9,3,1,4,3,0,0,2,0.0,6.7,13,419
Everton,James Garner,ENG,"MF,DF",23,21,17,1594,17.7,0,1,1,0,0,0,5,0.0,0.7,13,420
Everton,Jake O'Brien,IRL,DF,23,20,17,1571,17.5,2,0,2,2,0,0,5,0.0,0.8,13,421
Everton,Beto,GNB,FW,26,30,15,1534,17.0,8,0,8,8,0,0,2,0.0,8.2,13,422
Everton,Dwight McNeil,ENG,"MF,FW",24,21,15,1371,15.2,4,6,10,4,0,0,1,0.0,1.1,13,423
Everton,Jesper Lindstrøm,DEN,FW,24,25,15,1239,13.8,0,1,1,0,0,0,2,0.0,2.1,13,424
Everton,Orel Mangala,BEL,MF,26,19,14,1261,14.0,1,0,1,1,0,0,2,0.0,1.1,13,425
Everton,Michael Keane,ENG,DF,31,14,11,1049,11.7,3,0,3,3,0,0,5,0.0,0.6,13,426
Everton,Carlos Alcaraz,ARG,"FW,MF",21,15,7,764,8.5,2,3,5,2,0,0,4,0.0,1.7,13,427
Everton,Tim Iroegbunam,ENG,MF,21,18,5,574,6.4,0,1,1,0,0,0,4,0.0,0.2,13,428
Everton,Armando Broja,ALB,FW,22,10,4,334,3.7,0,0,0,0,0,0,1,0.0,0.1,13,429
Everton,Nathan Patterson,SCO,DF,22,10,3,347,3.9,0,1,1,0,0,0,1,0.0,0.1,13,430
Everton,Séamus Coleman,IRL,DF,35,5,3,215,2.4,0,0,0,0,0,0,1,0.0,0.6,13,431
Everton,Roman Dixon,ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,13,432
Everton,Harrison Armstrong,ENG,MF,17,3,0,48,0.5,0,0,0,0,0,0,1,0.0,0.4,13,433
Everton,Youssef Chermiti,POR,"FW,MF",20,4,0,45,0.5,0,0,0,0,0,0,1,0.0,0.1,13,434
Everton,Mason Holgate,JAM,"FW,DF",27,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,13,435
Everton,Callum Bates,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,436
Everton,Asmir Begović,BIH,GK,37,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,437
Everton,Coby Ebere,GER,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,438
Everton,Isaac Heath,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,439
Everton,Neal Maupay,FRA,"FW,MF",27,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,440
Everton,Jenson Metcalfe,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,441
Everton,Martin Sherif,NED,FW,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,442
Everton,João Virgínia,POR,GK,24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,443
Everton,Reece Welch,ENG,DF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,444
West Ham,Max Kilman,ENG,DF,27,38,38,3348,37.2,0,1,1,0,0,0,5,0.0,1.6,14,445
